bnumber	dbname	dbid
b2522	ASAP	ABE-0008301
b2522	ECOCYC	EG11601
b2522	GeneID	946994
b2523	UniProtKB/Swiss-Prot	P37095
b2523	ASAP	ABE-0008305
b2523	ECOCYC	EG12310
b2523	GeneID	948766
b2524	UniProtKB/Swiss-Prot	P0C0L9
b2524	ASAP	ABE-0008309
b2524	ECOCYC	EG12311
b2524	GeneID	945196
b2525	UniProtKB/Swiss-Prot	P0A9R4
b2525	ASAP	ABE-0008311
b2525	ECOCYC	EG11328
b2525	GeneID	947160
b2526	UniProtKB/Swiss-Prot	P0A6Z1
b2526	ASAP	ABE-0008315
b2526	ECOCYC	EG12130
b2526	GeneID	944885
b2527	UniProtKB/Swiss-Prot	P0A6L9
b2527	ASAP	ABE-0008317
b2527	ECOCYC	EG12131
b2527	GeneID	946995
b2528	UniProtKB/Swiss-Prot	P0AAC8
b2528	ASAP	ABE-0008319
b2528	ECOCYC	EG12132
b2528	GeneID	946999
b2529	UniProtKB/Swiss-Prot	P0ACD4
b2529	ASAP	ABE-0008321
b2529	ECOCYC	G7324
b2529	GeneID	947002
b2530	UniProtKB/Swiss-Prot	P0A6B7
b2530	ASAP	ABE-0008324
b2530	ECOCYC	G7325
b2530	GeneID	947004
b2531	UniProtKB/Swiss-Prot	P0AGK8
b2531	ASAP	ABE-0008326
b2531	ECOCYC	G7326
b2531	GeneID	945279
b2532	UniProtKB/Swiss-Prot	P0AE01
b2532	ASAP	ABE-0008332
b2532	ECOCYC	G7327
b2532	GeneID	948610
b2533	UniProtKB/Swiss-Prot	P0ADG4
b2533	ECOCYC	EG10983
b2533	GeneID	947285
b2534	UniProtKB/Swiss-Prot	P77538
b2534	ASAP	ABE-0008340
b2534	ECOCYC	G7328
b2534	GeneID	945059
b2535	UniProtKB/Swiss-Prot	P54901
b2535	ASAP	ABE-0008346
b2535	ECOCYC	G7329
b2535	GeneID	947009
b2536	UniProtKB/Swiss-Prot	Q47142
b2536	ASAP	ABE-0008348
b2536	ECOCYC	G7330
b2536	GeneID	947007
b2537	UniProtKB/Swiss-Prot	Q47141
b2537	ASAP	ABE-0008351
b2537	ECOCYC	G7331
b2537	GeneID	947000
b4706	UniProtKB/Swiss-Prot	U3PVA8
b4706	ECOCYC	G0-10716
b4706	GeneID	14678510
b2538	UniProtKB/Swiss-Prot	P0ABR5
b2538	ASAP	ABE-0008355
b2538	ECOCYC	M009
b2538	GeneID	946998
b2539	UniProtKB/Swiss-Prot	Q47140
b2539	ASAP	ABE-0008357
b2539	ECOCYC	M015
b2539	GeneID	946997
b2540	UniProtKB/Swiss-Prot	P0ABW0
b2540	ASAP	ABE-0008359
b2540	ECOCYC	G7334
b2540	GeneID	947015
b2541	UniProtKB/Swiss-Prot	P0CI31
b2541	ASAP	ABE-0008361
b2541	ECOCYC	G7335
b2541	GeneID	945346
b2542	UniProtKB/Swiss-Prot	P77650
b2542	ASAP	ABE-0008363
b2542	ECOCYC	G7336
b2542	GeneID	945427
b2543	UniProtKB/Swiss-Prot	P0AD47
b2543	ASAP	ABE-0008365
b2543	ECOCYC	G7337
b2543	GeneID	947365
b2544	UniProtKB/Swiss-Prot	P76584
b2544	ASAP	ABE-0008368
b2544	ECOCYC	G7338
b2544	GeneID	947017
b2545	UniProtKB/Swiss-Prot	P77360
b2545	ASAP	ABE-0008370
b2545	ECOCYC	G7339
b2545	GeneID	947019
b2546	UniProtKB/Swiss-Prot	P77315
b2546	ASAP	ABE-0008373
b2546	ECOCYC	G7340
b2546	GeneID	949063
b2547	UniProtKB/Swiss-Prot	P77509
b2547	ASAP	ABE-0008376
b2547	ECOCYC	G7341
b2547	GeneID	948990
b2548	UniProtKB/Swiss-Prot	P77269
b2548	ASAP	ABE-0008378
b2548	ECOCYC	G7342
b2548	GeneID	947020
b2549	UniProtKB/Swiss-Prot	P76585
b2549	ASAP	ABE-0008380
b2549	ECOCYC	G7343
b2549	GeneID	947021
b2550	UniProtKB/Swiss-Prot	P76586
b2550	ASAP	ABE-0008384
b2550	ECOCYC	G7344
b2550	GeneID	947023
b2551	UniProtKB/Swiss-Prot	P0A825
b2551	ASAP	ABE-0008389
b2551	ECOCYC	EG10408
b2551	GeneID	947022
b2552	UniProtKB/Swiss-Prot	P24232
b2552	ASAP	ABE-0008396
b2552	ECOCYC	EG10456
b2552	GeneID	947018
b2553	UniProtKB/Swiss-Prot	P0A9Z1
b2553	ASAP	ABE-0008398
b2553	ECOCYC	EG10384
b2553	GeneID	947016
b2554	UniProtKB/Swiss-Prot	P0AFU4
b2554	ASAP	ABE-0008400
b2554	ECOCYC	EG11285
b2554	GeneID	947042
b2555	UniProtKB/Swiss-Prot	P0AD44
b2555	ASAP	ABE-0008405
b2555	ECOCYC	EG12139
b2555	GeneID	947010
b2556	UniProtKB/Swiss-Prot	P52101
b2556	ASAP	ABE-0008409
b2556	ECOCYC	G7345
b2556	GeneID	947013
b2557	UniProtKB/Swiss-Prot	P15254
b2557	ASAP	ABE-0008412
b2557	ECOCYC	EG10797
b2557	GeneID	947032
b2558	UniProtKB/Swiss-Prot	P0AGC5
b2558	ASAP	ABE-0008417
b2558	ECOCYC	EG11373
b2558	GeneID	947028
b2559	UniProtKB/Swiss-Prot	P68398
b2559	ASAP	ABE-0008419
b2559	ECOCYC	EG11372
b2559	GeneID	947027
b2560	UniProtKB/Swiss-Prot	P0AD42
b2560	ASAP	ABE-0008421
b2560	ECOCYC	EG11371
b2560	GeneID	947026
b2561	UniProtKB/Swiss-Prot	P37767
b2561	ASAP	ABE-0008428
b2561	ECOCYC	EG12308
b2561	GeneID	947030
b2562	UniProtKB/Swiss-Prot	P52102
b2562	ASAP	ABE-0008431
b2562	ECOCYC	G7346
b2562	GeneID	947031
b4687	UniProtKB/Swiss-Prot	C1P611
b4687	ECOCYC	G0-10634
b4687	GeneID	7751620
b2563	UniProtKB/Swiss-Prot	P24224
b2563	ASAP	ABE-0008433
b2563	ECOCYC	EG10247
b2563	GeneID	947037
b2564	UniProtKB/Swiss-Prot	P0A794
b2564	ASAP	ABE-0008435
b2564	ECOCYC	EG10693
b2564	GeneID	947039
b2565	UniProtKB/Swiss-Prot	P0A7H3
b2565	ASAP	ABE-0008438
b2565	ECOCYC	EG10832
b2565	GeneID	947038
b2566	UniProtKB/Swiss-Prot	P06616
b2566	ASAP	ABE-0008440
b2566	ECOCYC	EG10270
b2566	GeneID	947036
b2567	UniProtKB/Swiss-Prot	P0A7Y0
b2567	ASAP	ABE-0008448
b2567	ECOCYC	EG10857
b2567	GeneID	947033
b2568	UniProtKB/Swiss-Prot	P00803
b2568	ASAP	ABE-0008450
b2568	ECOCYC	EG10530
b2568	GeneID	947040
b2569	UniProtKB/Swiss-Prot	P60785
b2569	ASAP	ABE-0008452
b2569	ECOCYC	EG10529
b2569	GeneID	947051
b2570	UniProtKB/Swiss-Prot	P46187
b2570	ASAP	ABE-0008457
b2570	ECOCYC	G7347
b2570	GeneID	947052
b2571	UniProtKB/Swiss-Prot	P0AFX9
b2571	ASAP	ABE-0008459
b2571	ECOCYC	G7348
b2571	GeneID	947054
b2572	UniProtKB/Swiss-Prot	P0AFX7
b2572	ASAP	ABE-0008462
b2572	ECOCYC	EG12341
b2572	GeneID	947053
b2573	UniProtKB/Swiss-Prot	P0AGB6
b2573	ASAP	ABE-0008467
b2573	ECOCYC	EG11897
b2573	GeneID	947050
b4725	UniProtKB/Swiss-Prot	P0DPC7
b4725	ECOCYC	G0-16690
b4725	GeneID	38094969
b2574	UniProtKB/Swiss-Prot	P10902
b2574	ASAP	ABE-0008471
b2574	ECOCYC	EG10631
b2574	GeneID	947049
b2575	UniProtKB/Swiss-Prot	P31825
b2575	ASAP	ABE-0008473
b2575	ECOCYC	EG11538
b2575	GeneID	947047
b2576	UniProtKB/Swiss-Prot	P21507
b2576	ASAP	ABE-0008478
b2576	ECOCYC	EG10975
b2576	GeneID	947055
b2577	UniProtKB/Swiss-Prot	P33634
b2577	ASAP	ABE-0008483
b2577	ECOCYC	EG11785
b2577	GeneID	947064
b2578	UniProtKB/Swiss-Prot	P38101
b2578	ASAP	ABE-0008487
b2578	ECOCYC	EG12445
b2578	GeneID	947065
b2579	UniProtKB/Swiss-Prot	P68066
b2579	ASAP	ABE-0008489
b2579	ECOCYC	EG11784
b2579	GeneID	947068
b2580	UniProtKB/Swiss-Prot	P12295
b2580	ASAP	ABE-0008495
b2580	ECOCYC	EG11058
b2580	GeneID	947067
b2581	UniProtKB/Swiss-Prot	P0AGJ5
b2581	ASAP	ABE-0008497
b2581	ECOCYC	EG11786
b2581	GeneID	947066
b2582	UniProtKB/Swiss-Prot	P0AGG4
b2582	ASAP	ABE-0008501
b2582	ECOCYC	EG11887
b2582	GeneID	947062
b2583	UniProtKB/Swiss-Prot	Q47319
b2583	ASAP	ABE-0008503
b2583	ECOCYC	G7349
b2583	GeneID	947057
b2584	UniProtKB/Swiss-Prot	P76594
b2584	ASAP	ABE-0008506
b2584	ECOCYC	G7350
b2584	GeneID	947056
b4782	UniProtKB/Swiss-Prot	P0DSG0
b4782	ECOCYC	G0-17028
b4782	GeneID	63925645
b2585	UniProtKB/Swiss-Prot	P23830
b2585	ASAP	ABE-0008510
b2585	ECOCYC	EG10781
b2585	GeneID	947059
b2586	UniProtKB/Swiss-Prot	P46126
b2586	ASAP	ABE-0008513
b2586	ECOCYC	EG12857
b2586	GeneID	947060
b2587	UniProtKB/Swiss-Prot	P0AEX3
b2587	ASAP	ABE-0008515
b2587	ECOCYC	EG10522
b2587	GeneID	947069
b4783	UniProtKB/Swiss-Prot	P0DSG1
b4783	ECOCYC	G0-17029
b4783	GeneID	63925646
b2592	UniProtKB/Swiss-Prot	P63284
b2592	ASAP	ABE-0008527
b2592	ECOCYC	EG10157
b2592	GeneID	947077
b2592	ASAP	ABE-0008527
b2592	ECOCYC	EG10157
b2592	GeneID	947077
b2593	UniProtKB/Swiss-Prot	P33644
b2593	ASAP	ABE-0008530
b2593	ECOCYC	EG12097
b2593	GeneID	947089
b2594	UniProtKB/Swiss-Prot	P33643
b2594	ASAP	ABE-0008532
b2594	ECOCYC	EG12098
b2594	GeneID	947087
b2595	UniProtKB/Swiss-Prot	P0AC02
b2595	ASAP	ABE-0008536
b2595	ECOCYC	G7352
b2595	GeneID	947086
b2597	UniProtKB/Swiss-Prot	P0AD49
b2597	ASAP	ABE-0008540
b2597	ECOCYC	EG11151
b2597	GeneID	947129
b2598	UniProtKB/Swiss-Prot	P0AD72
b2598	ASAP	ABE-0008543
b2598	ECOCYC	EG11271
b2598	GeneID	947080
b2599	UniProtKB/Swiss-Prot	P0A9J8
b2599	ASAP	ABE-0008545
b2599	ECOCYC	EG10707
b2599	GeneID	947081
b2600	UniProtKB/Swiss-Prot	P07023
b2600	ASAP	ABE-0008547
b2600	ECOCYC	EG11039
b2600	GeneID	947115
b2601	UniProtKB/Swiss-Prot	P00888
b2601	ASAP	ABE-0008549
b2601	ECOCYC	EG10078
b2601	GeneID	947084
b2602	UniProtKB/Swiss-Prot	P11289
b2602	ASAP	ABE-0008565
b2602	ECOCYC	EG12446
b2602	GeneID	947106
b2603	UniProtKB/Swiss-Prot	P64548
b2603	ASAP	ABE-0008568
b2603	ECOCYC	G7354
b2603	GeneID	947090
b2604	UniProtKB/Swiss-Prot	P46139
b2604	ASAP	ABE-0008570
b2604	ECOCYC	EG12880
b2604	GeneID	947091
b2605	UniProtKB/Swiss-Prot	P07021
b2605	ASAP	ABE-0008572
b2605	ECOCYC	EG11152
b2605	GeneID	947094
b2606	UniProtKB/Swiss-Prot	P0A7K6
b2606	ASAP	ABE-0008574
b2606	ECOCYC	EG10880
b2606	GeneID	947096
b2607	UniProtKB/Swiss-Prot	P0A873
b2607	ASAP	ABE-0008576
b2607	ECOCYC	EG11023
b2607	GeneID	947099
b2608	UniProtKB/Swiss-Prot	P0A7X6
b2608	ASAP	ABE-0008579
b2608	ECOCYC	EG11153
b2608	GeneID	947101
b2609	UniProtKB/Swiss-Prot	P0A7T3
b2609	ASAP	ABE-0008583
b2609	ECOCYC	EG10915
b2609	GeneID	947103
b2610	UniProtKB/Swiss-Prot	P0AGD7
b2610	ASAP	ABE-0008586
b2610	ECOCYC	EG10300
b2610	GeneID	947102
b2611	UniProtKB/Swiss-Prot	P64432
b2611	ASAP	ABE-0008591
b2611	ECOCYC	G7355
b2611	GeneID	947098
b4461	UniProtKB/Swiss-Prot	P37908
b4461	ASAP	ABE-0174111
b4461	ECOCYC	EG12442
b4461	GeneID	2847739
b2614	UniProtKB/Swiss-Prot	P09372
b2614	ASAP	ABE-0008598
b2614	ECOCYC	EG10416
b2614	GeneID	947097
b2615	UniProtKB/Swiss-Prot	P0A7B3
b2615	ASAP	ABE-0008603
b2615	ECOCYC	EG12192
b2615	GeneID	947092
b2616	UniProtKB/Swiss-Prot	P05824
b2616	ASAP	ABE-0008611
b2616	ECOCYC	EG10831
b2616	GeneID	947105
b2617	UniProtKB/Swiss-Prot	P0A937
b2617	ASAP	ABE-0008614
b2617	ECOCYC	EG10952
b2617	GeneID	945583
b2618	UniProtKB/Swiss-Prot	P52119
b2618	ASAP	ABE-0008616
b2618	ECOCYC	G7357
b2618	GeneID	945078
b2619	UniProtKB/Swiss-Prot	P0AGL5
b2619	ASAP	ABE-0008618
b2619	ECOCYC	G7358
b2619	GeneID	945614
b2620	UniProtKB/Swiss-Prot	P0A832
b2620	ASAP	ABE-0008622
b2620	ECOCYC	EG11782
b2620	GeneID	947296
b2622	UniProtKB/Swiss-Prot	P32053
b2622	ASAP	ABE-0008630
b2622	ECOCYC	EG11783
b2622	GeneID	946160
b2623	UniProtKB/Swiss-Prot	P52123
b2623	ASAP	ABE-0008632
b2623	ECOCYC	G7359
b2623	GeneID	946123
b2624	UniProtKB/Swiss-Prot	P33997
b2624	ASAP	ABE-0008636
b2624	ECOCYC	EG12112
b2624	GeneID	946758
b2625	UniProtKB/Swiss-Prot	P52124
b2625	ASAP	ABE-0008643
b2625	ECOCYC	G7360
b2625	GeneID	944764
b2626	UniProtKB/Swiss-Prot	P52125
b2626	ASAP	ABE-0008646
b2626	ECOCYC	G7361
b2626	GeneID	947112
b2627	UniProtKB/Swiss-Prot	P52126
b2627	ASAP	ABE-0008648
b2627	ECOCYC	G7362
b2627	GeneID	947111
b2628	UniProtKB/Swiss-Prot	P52127
b2628	ASAP	ABE-0008650
b2628	ECOCYC	G7363
b2628	GeneID	947110
b2629	UniProtKB/Swiss-Prot	P52128
b2629	ASAP	ABE-0008654
b2629	ECOCYC	G7364
b2629	GeneID	947108
b2630	UniProtKB/Swiss-Prot	P52129
b2630	ASAP	ABE-0008659
b2630	ECOCYC	G7365
b2630	GeneID	947107
b2631	UniProtKB/Swiss-Prot	P52130
b2631	ASAP	ABE-0008665
b2631	ECOCYC	G7366
b2631	GeneID	947113
b2632	UniProtKB/Swiss-Prot	P52131
b2632	ASAP	ABE-0008669
b2632	ECOCYC	G7367
b2632	GeneID	947124
b2633	UniProtKB/Swiss-Prot	P52132
b2633	ASAP	ABE-0008673
b2633	ECOCYC	G7368
b2633	GeneID	947127
b2634	UniProtKB/Swiss-Prot	P52133
b2634	ASAP	ABE-0008676
b2634	ECOCYC	G7369
b2634	GeneID	947309
b2635	UniProtKB/Swiss-Prot	P52134
b2635	ASAP	ABE-0008678
b2635	ECOCYC	G7370
b2635	GeneID	2847710
b2636	UniProtKB/Swiss-Prot	O52982
b2636	ASAP	ABE-0008680
b2636	ECOCYC	G7371
b2636	GeneID	945668
b2637	UniProtKB/Swiss-Prot	P52135
b2637	ASAP	ABE-0008683
b2637	ECOCYC	G7372
b2637	GeneID	947616
b2638	UniProtKB/Swiss-Prot	P0CF86
b2638	ASAP	ABE-0008685
b2638	ECOCYC	G7373
b2638	GeneID	945062
b2642	UniProtKB/Swiss-Prot	P52138
b2642	ASAP	ABE-0008699
b2642	ECOCYC	G7377
b2642	GeneID	947128
b2643	UniProtKB/Swiss-Prot	P52139
b2643	ASAP	ABE-0008704
b2643	ECOCYC	G7378
b2643	GeneID	947126
b2644	UniProtKB/Swiss-Prot	P52140
b2644	ASAP	ABE-0008706
b2644	ECOCYC	G7379
b2644	GeneID	947125
b4548	UniProtKB/Swiss-Prot	P58033
b4548	ASAP	ABE-0285069
b4548	ECOCYC	G0-10464
b4548	GeneID	1450287
b2645	UniProtKB/Swiss-Prot	P52141
b2645	ASAP	ABE-0008709
b2645	ECOCYC	G7380
b2645	GeneID	947123
b2646	UniProtKB/Swiss-Prot	Q46953
b2646	ASAP	ABE-0008711
b2646	ECOCYC	G7381
b2646	GeneID	947131
b2647	UniProtKB/Swiss-Prot	P52143
b2647	ASAP	ABE-0008713
b2647	ECOCYC	G7382
b2647	GeneID	948630
b2649	UniProtKB/Swiss-Prot	P76612
b2649	ASAP	ABE-0008724
b2649	ECOCYC	G7384
b2649	GeneID	945242
b2650	UniProtKB/Swiss-Prot	P76613
b2650	ASAP	ABE-0008727
b2650	ECOCYC	G7385
b2650	GeneID	947640
b2659	UniProtKB/Swiss-Prot	P76621
b2659	ASAP	ABE-0008754
b2659	ECOCYC	G7394
b2659	GeneID	948076
b2660	UniProtKB/Swiss-Prot	P37339
b2660	ASAP	ABE-0008756
b2660	ECOCYC	EG12387
b2660	GeneID	948069
b2661	UniProtKB/Swiss-Prot	P25526
b2661	ASAP	ABE-0008758
b2661	ECOCYC	EG11329
b2661	GeneID	948060
b2662	UniProtKB/Swiss-Prot	P22256
b2662	ASAP	ABE-0008760
b2662	ECOCYC	EG10361
b2662	GeneID	948067
b2663	UniProtKB/Swiss-Prot	P25527
b2663	ASAP	ABE-0008763
b2663	ECOCYC	EG11330
b2663	GeneID	948049
b2664	UniProtKB/Swiss-Prot	P37338
b2664	ASAP	ABE-0008765
b2664	ECOCYC	EG12386
b2664	GeneID	948055
b2665	UniProtKB/Swiss-Prot	P0ADE6
b2665	ASAP	ABE-0008767
b2665	ECOCYC	G7395
b2665	GeneID	947144
b2666	UniProtKB/Swiss-Prot	P0AE42
b2666	ASAP	ABE-0008770
b2666	ECOCYC	G7396
b2666	GeneID	947138
b2667	UniProtKB/Swiss-Prot	P77295
b2667	ASAP	ABE-0008784
b2667	ECOCYC	G7397
b2667	GeneID	947136
b2668	UniProtKB/Swiss-Prot	P55734
b2668	ASAP	ABE-0008786
b2668	ECOCYC	G7398
b2668	GeneID	947135
b2669	UniProtKB/Swiss-Prot	P0ACG1
b2669	ASAP	ABE-0008788
b2669	ECOCYC	EG11554
b2669	GeneID	947130
b2670	UniProtKB/Swiss-Prot	P64550
b2670	ASAP	ABE-0008793
b2670	ECOCYC	G7399
b2670	GeneID	947147
b2671	UniProtKB/Swiss-Prot	P0AD53
b2671	ASAP	ABE-0008795
b2671	ECOCYC	EG12201
b2671	GeneID	947156
b2672	UniProtKB/Swiss-Prot	P0ADQ7
b2672	ASAP	ABE-0008799
b2672	ECOCYC	G7400
b2672	GeneID	947157
b2673	UniProtKB/Swiss-Prot	P0AC65
b2673	ASAP	ABE-0008802
b2673	ECOCYC	G7401
b2673	GeneID	947161
b2674	UniProtKB/Swiss-Prot	P0A772
b2674	ASAP	ABE-0008804
b2674	ECOCYC	G7402
b2674	GeneID	947158
b2675	UniProtKB/Swiss-Prot	P39452
b2675	ASAP	ABE-0008806
b2675	ECOCYC	EG20257
b2675	GeneID	947155
b2676	UniProtKB/Swiss-Prot	P37146
b2676	ASAP	ABE-0008808
b2676	ECOCYC	EG12381
b2676	GeneID	947149
b2677	UniProtKB/Swiss-Prot	P14175
b2677	ASAP	ABE-0008814
b2677	ECOCYC	EG10771
b2677	GeneID	947148
b2678	UniProtKB/Swiss-Prot	P14176
b2678	ASAP	ABE-0008816
b2678	ECOCYC	EG10772
b2678	GeneID	947145
b2679	UniProtKB/Swiss-Prot	P0AFM2
b2679	ASAP	ABE-0008818
b2679	ECOCYC	EG10773
b2679	GeneID	947165
b2682	UniProtKB/Swiss-Prot	P76630
b2682	ASAP	ABE-0008829
b2682	ECOCYC	G7405
b2682	GeneID	945093
b2683	UniProtKB/Swiss-Prot	P43667
b2683	ASAP	ABE-0008831
b2683	ECOCYC	G7406
b2683	GeneID	945111
b2684	UniProtKB/Swiss-Prot	P0ACR9
b2684	ASAP	ABE-0008834
b2684	ECOCYC	EG10603
b2684	GeneID	945282
b2685	UniProtKB/Swiss-Prot	P27303
b2685	ASAP	ABE-0008838
b2685	ECOCYC	EG11354
b2685	GeneID	947166
b2686	UniProtKB/Swiss-Prot	P0AEJ0
b2686	ASAP	ABE-0008840
b2686	ECOCYC	EG11439
b2686	GeneID	947167
b2687	UniProtKB/Swiss-Prot	P45578
b2687	ASAP	ABE-0008842
b2687	ECOCYC	EG12712
b2687	GeneID	947168
b2688	UniProtKB/Swiss-Prot	P0A6W9
b2688	ASAP	ABE-0008845
b2688	ECOCYC	EG10418
b2688	GeneID	944881
b2689	UniProtKB/Swiss-Prot	P0ADR0
b2689	ASAP	ABE-0008847
b2689	ECOCYC	G7407
b2689	GeneID	945419
b2690	UniProtKB/Swiss-Prot	P77475
b2690	ASAP	ABE-0008850
b2690	ECOCYC	G7408
b2690	GeneID	945776
b2696	UniProtKB/Swiss-Prot	P69913
b2696	ASAP	ABE-0008866
b2696	ECOCYC	EG11447
b2696	GeneID	947176
b2697	UniProtKB/Swiss-Prot	P00957
b2697	ASAP	ABE-0008869
b2697	ECOCYC	EG10034
b2697	GeneID	947175
b2698	UniProtKB/Swiss-Prot	P33596
b2698	ASAP	ABE-0008872
b2698	ECOCYC	EG12080
b2698	GeneID	947172
b2699	UniProtKB/Swiss-Prot	P0A7G6
b2699	ASAP	ABE-0008876
b2699	ECOCYC	EG10823
b2699	GeneID	947170
b2700	UniProtKB/Swiss-Prot	P0A6G3
b2700	ASAP	ABE-0008882
b2700	ECOCYC	G7409
b2700	GeneID	947169
b2701	UniProtKB/Swiss-Prot	P41052
b2701	ASAP	ABE-0008885
b2701	ECOCYC	G7410
b2701	GeneID	947184
b2702	UniProtKB/Swiss-Prot	P56579
b2702	ASAP	ABE-0008890
b2702	ECOCYC	G8210
b2702	GeneID	947575
b2703	UniProtKB/Swiss-Prot	P56580
b2703	ASAP	ABE-0008892
b2703	ECOCYC	EG10969
b2703	GeneID	948933
b2704	UniProtKB/Swiss-Prot	P05706
b2704	ASAP	ABE-0008894
b2704	ECOCYC	EG10970
b2704	GeneID	948971
b2705	UniProtKB/Swiss-Prot	P05707
b2705	ASAP	ABE-0008896
b2705	ECOCYC	EG10971
b2705	GeneID	948937
b2706	UniProtKB/Swiss-Prot	P15081
b2706	ASAP	ABE-0008898
b2706	ECOCYC	EG10972
b2706	GeneID	948938
b2707	UniProtKB/Swiss-Prot	P15082
b2707	ASAP	ABE-0008900
b2707	ECOCYC	EG10974
b2707	GeneID	948942
b2708	UniProtKB/Swiss-Prot	P17115
b2708	ASAP	ABE-0008902
b2708	ECOCYC	EG10973
b2708	GeneID	947587
b2709	UniProtKB/Swiss-Prot	P37013
b2709	ASAP	ABE-0008904
b2709	ECOCYC	EG12108
b2709	GeneID	947186
b2710	UniProtKB/Swiss-Prot	Q46877
b2710	ASAP	ABE-0008910
b2710	ECOCYC	G7413
b2710	GeneID	948979
b2711	UniProtKB/Swiss-Prot	P37596
b2711	ASAP	ABE-0008912
b2711	ECOCYC	EG12450
b2711	GeneID	947088
b2712	UniProtKB/Swiss-Prot	P30131
b2712	ASAP	ABE-0008915
b2712	ECOCYC	EG11551
b2712	GeneID	944963
b2713	UniProtKB/Swiss-Prot	P0AAK4
b2713	ASAP	ABE-0008919
b2713	ECOCYC	EG11552
b2713	GeneID	947190
b2714	UniProtKB/Swiss-Prot	P24242
b2714	ASAP	ABE-0008922
b2714	ECOCYC	EG10087
b2714	GeneID	947305
b2715	UniProtKB/Swiss-Prot	P24241
b2715	ASAP	ABE-0008926
b2715	ECOCYC	EG10086
b2715	GeneID	947154
b2716	UniProtKB/Swiss-Prot	P24240
b2716	ASAP	ABE-0008928
b2716	ECOCYC	EG10085
b2716	GeneID	947460
b2717	UniProtKB/Swiss-Prot	P0AEV9
b2717	ASAP	ABE-0008931
b2717	ECOCYC	G7414
b2717	GeneID	947428
b2718	UniProtKB/Swiss-Prot	P0AEV7
b2718	ASAP	ABE-0008933
b2718	ECOCYC	EG10481
b2718	GeneID	947438
b2719	UniProtKB/Swiss-Prot	P16433
b2719	ASAP	ABE-0008936
b2719	ECOCYC	EG10480
b2719	GeneID	947191
b2720	UniProtKB/Swiss-Prot	P16432
b2720	ASAP	ABE-0008942
b2720	ECOCYC	EG10479
b2720	GeneID	947048
b2721	UniProtKB/Swiss-Prot	P16431
b2721	ASAP	ABE-0008944
b2721	ECOCYC	EG10478
b2721	GeneID	947396
b2722	UniProtKB/Swiss-Prot	P16430
b2722	ASAP	ABE-0008946
b2722	ECOCYC	EG10477
b2722	GeneID	948994
b2723	UniProtKB/Swiss-Prot	P16429
b2723	ASAP	ABE-0008948
b2723	ECOCYC	EG10476
b2723	GeneID	945327
b2724	UniProtKB/Swiss-Prot	P0AAK1
b2724	ASAP	ABE-0008950
b2724	ECOCYC	EG10475
b2724	GeneID	948002
b2725	UniProtKB/Swiss-Prot	P0AEV4
b2725	ASAP	ABE-0008952
b2725	ECOCYC	EG10474
b2725	GeneID	947193
b2726	UniProtKB/Swiss-Prot	P0A700
b2726	ASAP	ABE-0008958
b2726	ECOCYC	EG10483
b2726	GeneID	947195
b2727	UniProtKB/Swiss-Prot	P0AAN3
b2727	ASAP	ABE-0008960
b2727	ECOCYC	EG10484
b2727	GeneID	947194
b2728	UniProtKB/Swiss-Prot	P0AAM3
b2728	ASAP	ABE-0008962
b2728	ECOCYC	EG10485
b2728	GeneID	947192
b2729	UniProtKB/Swiss-Prot	P24192
b2729	ASAP	ABE-0008965
b2729	ECOCYC	EG10486
b2729	GeneID	947189
b2730	UniProtKB/Swiss-Prot	P24193
b2730	ASAP	ABE-0008967
b2730	ECOCYC	EG10487
b2730	GeneID	947182
b2731	UniProtKB/Swiss-Prot	P19323
b2731	ASAP	ABE-0008971
b2731	ECOCYC	EG10301
b2731	GeneID	947181
b2732	UniProtKB/Swiss-Prot	P25728
b2732	ASAP	ABE-0008973
b2732	ECOCYC	EG11287
b2732	GeneID	947187
b2733	UniProtKB/Swiss-Prot	P23909
b2733	ASAP	ABE-0008977
b2733	ECOCYC	EG10625
b2733	GeneID	947206
b2734	UniProtKB/Swiss-Prot	P55799
b2734	ASAP	ABE-0008980
b2734	ECOCYC	G7415
b2734	GeneID	947196
b2735	UniProtKB/Swiss-Prot	P52598
b2735	ASAP	ABE-0008982
b2735	ECOCYC	G7416
b2735	GeneID	947204
b2736	UniProtKB/Swiss-Prot	Q46888
b2736	ASAP	ABE-0008986
b2736	ECOCYC	G7417
b2736	GeneID	947200
b2737	UniProtKB/Swiss-Prot	Q46889
b2737	ASAP	ABE-0008988
b2737	ECOCYC	G7418
b2737	GeneID	947199
b2738	UniProtKB/Swiss-Prot	Q46890
b2738	ASAP	ABE-0008994
b2738	ECOCYC	G7419
b2738	GeneID	947197
b2739	UniProtKB/Swiss-Prot	Q46891
b2739	ASAP	ABE-0008996
b2739	ECOCYC	G7420
b2739	GeneID	947207
b2740	UniProtKB/Swiss-Prot	Q46892
b2740	ASAP	ABE-0008999
b2740	ECOCYC	G7421
b2740	GeneID	947208
b2741	UniProtKB/Swiss-Prot	P13445
b2741	ASAP	ABE-0009001
b2741	ECOCYC	EG10510
b2741	GeneID	947210
b2742	UniProtKB/Swiss-Prot	P0ADA3
b2742	ASAP	ABE-0009004
b2742	ECOCYC	EG12111
b2742	GeneID	947011
b2743	UniProtKB/Swiss-Prot	P0A7A5
b2743	ASAP	ABE-0009006
b2743	ECOCYC	EG10689
