bnumber	Site
b0449	TU0-12937
b0450	TU587
b0451	TU587
b0452	TU0-8528
b0453	TU0-8552
b0454	TU0-8553
b0455	TU0-12938
b0456	TU0-12939
b0457	TU0-12940
b0458	TU0-12941
b0459	TU0-12942
b0460	TU0-12943
b0461	TU0-12943
b0462	TU0-14615
b0462	TU00233
b0463	TU00233
b0464	TU0-8325
b0465	TU0-12944
b0466	TU0-12945
b0467	TU0-12945
b0468	TU0-12946
b0469	TU0-12947
b0470	TU0-12948
b0471	TU0-3422
b0472	TU0-3422
b0473	TU0-14784
b0473	TU00401
b0473	TU00402
b0474	TU0-6481
b0475	TU0-12951
b0476	TU0-5421
b0477	TU0-8806
b0478	TU0-12952
b0479	TU0-12953
b0480	TU0-8534
b0481	TU0-8556
b0482	TU0-8523
b0483	TU0-8524
b0484	TU0-3122
b0485	TU0-3123
b0486	TU0-3123
b0487	TU0-12955
b0488	TU0-12956
b0489	TU0-12956
b0490	TU0-12957
b0491	TU0-12957
b0492	TU0-8356
b0493	TU0-6623
b0494	TU0-6623
b0495	TU0-12959
b0496	TU0-12959
b0497	TU0-12960
b0498	TU0-12960
b0502	TU0-12961
b0503	TU0-14295
b0504	TU0-7602
b0505	TU0-7601
b0506	TU0-8873
b0507	TU0-7603
b0508	TU0-7603
b0509	TU0-7603
b0511	TU0-7603
b0512	TU0-44196
b0512	TU0-44197
b0512	TU0-44198
b0512	TU0-7603
b0513	TU0-14616
b0513	TU0-7603
b0514	TU0-14506
b0514	TU0-14616
b0514	TU0-7603
b0515	TU0-7622
b0516	TU0-7622
b0517	TU0-7622
b0518	TU0-12962
b0519	TU0-12962
b0520	TU0-12962
b0521	TU0-12962
b0522	TU00082
b0523	TU00082
b0524	TU0-12963
b0525	TU0-12963
b0526	TU0-8477
b0527	TU0-12964
b0528	TU0-12965
b0529	TU0-12965
b0530	TU0-12966
b0531	TU0-12967
b0532	TU0-12967
b0533	TU0-12968
b0534	TU0-12968
b0535	TU0-8799
b0536	TU00491
b0537	TU0-8837
b0540	TU0-12971
b0541	TU0-12971
b0543	TU0-14417
b0544	TU0-12973
b0545	TU0-12974
b0546	TU0-12974
b0547	TU0-12975
b0548	TU0-12975
b0549	TU0-12975
b0550	TU0-12975
b0551	TU0-12976
b0552	TU0-14363
b0554	TU-8422
b0555	TU-8422
b0556	TU-8422
b0557	TU0-7783
b0558	TU0-12979
b0559	TU0-12980
b0560	TU0-12981
b0561	TU0-12982
b0563	TU0-12983
b0564	TU0-42454
b0564	TU0-45143
b0564	TU0-8479
b0565	TU0-7823
b0565	TU00264
b0566	TU00264
b0567	TU0-14365
b0568	TU00307
b0569	TU00307
b0570	TU0-1822
b0571	TU0-1822
b0572	TU0-1821
b0573	TU0-1821
b0574	TU0-1821
b0575	TU0-1821
b0576	TU0-8149
b0577	TU0-12985
b0578	TU0-4624
b0579	TU0-12987
b0580	TU0-12988
b0581	TU0-12989
b0582	TU0-12990
b0583	TU00163
b0584	TU00163
b0585	TU00270
b0586	TU00270
b0587	TU00270
b0588	TU0-3963
b0588	TU00165
b0589	TU0-3963
b0589	TU00165
b0590	TU0-3963
b0590	TU00165
b0591	TU0-6042
b0591	TU0-6043
b0592	TU00164
b0593	TU00166
b0594	TU00166
b0595	TU00166
b0596	TU00166
b0597	TU0-14617
b0597	TU00166
b0598	TU0-6821
b0598	TU0-6822
b0598	TU0-6823
b0599	TU0-8558
b0600	TU0-8559
b0601	TU0-12992
b0602	TU0-12993
b0603	TU0-12994
b0604	TU0-12995
b0605	TU0-14761
b0605	TU00074
b0606	TU-8435
b0606	TU0-14761
b0606	TU00074
b0607	TU0-8536
b0608	TU0-14246
b0610	TU0-12996
b0611	TU0-12997
b0612	TU0-12998
b0613	TU0-12999
b0613	TU0-14750
b0614	TU0-12999
b0614	TU0-14750
b0615	TU0-12999
b0615	TU0-14750
b0616	TU0-12999
b0616	TU0-14750
b0617	TU0-12999
b0617	TU0-14750
b0618	TU0-12999
b0618	TU0-14750
b0619	TU0-13000
b0619	TU0-14751
b0620	TU0-13000
b0620	TU0-14751
b0621	TU0-1603
b0622	TU0-7821
b0623	TU0-13001
b0623	TU0-14576
b0624	TU0-8778
b0627	TU0-13003
b0628	TU0-13004
b0629	TU0-13005
b0630	TU0-13006
b0630	TU0-14470
b0630	TU0-45272
b0631	TU0-13007
b0631	TU0-14470
b0631	TU0-45272
b0632	TU0-13008
b0633	TU0-13009
b0634	TU0-13009
b0635	TU0-13009
b0636	TU0-13009
b0637	TU0-13009
b0638	TU0-13010
b0639	TU0-13010
b0640	TU0-13010
b0641	TU0-13010
b0642	TU0-13010
b0643	TU0-8560
b0644	TU0-8561
b0645	TU0-13011
b0646	TU0-13011
b0647	TU0-8562
b0648	TU0-13012
b0649	TU0-13012
b0650	TU0-13013
b0651	TU0-13014
b0652	TU-8412
b0652	TU0-42594
b0653	TU-8412
b0653	TU0-42594
b0654	TU-8412
b0654	TU0-42594
b0655	TU-8412
b0655	TU0-42594
b0656	TU0-13015
b0657	TU0-13016
b0657	TU0-14471
b0658	TU0-13016
b0658	TU0-14471
b0659	TU0-13017
b0659	TU0-14471
b0660	TU0-13017
b0660	TU0-14471
b0661	TU0-13018
b0662	TU0-8533
b0664	TU0-14553
b0664	TU00507
b0665	TU0-14553
b0665	TU00507
b0666	TU0-14553
b0666	TU00507
b0668	TU0-14553
b0668	TU00507
b0670	TU00507
b0672	TU00507
b0673	TU00507
b0674	TU0-4929
b0675	TU0-6652
b0675	TU00043
b0676	TU0-14463
b0676	TU0-14464
b0676	TU00043
b0677	TU0-7805
b0677	TU00043
b0678	TU00043
b0679	TU0-4421
b0680	TU0-14467
b0680	TU0-45210
b0680	TU0-6504
b0681	TU0-13021
b0682	TU0-13021
b0682	TU0-13022
b0683	TU0-1281
b0683	TU0-1282
b0683	TU0-1283
b0683	TU00121
b0684	TU0-1282
b0685	TU0-8265
b0686	TU0-13023
b0687	TU0-4444
b0688	TU0-4444
b0689	TU0-13024
