bnumber	GOTerm
b0083	GO:0032153
b0083	GO:0043093
b0084	GO:0000917
b0084	GO:0005887
b0084	GO:0008360
b0084	GO:0008658
b0084	GO:0008955
b0084	GO:0009002
b0084	GO:0009252
b0084	GO:0031226
b0084	GO:0032153
b0084	GO:0042493
b0084	GO:0043093
b0084	GO:0051301
b0084	GO:0071555
b0085	GO:0000287
b0085	GO:0005524
b0085	GO:0005829
b0085	GO:0007049
b0085	GO:0008360
b0085	GO:0008765
b0085	GO:0009252
b0085	GO:0051301
b0085	GO:0071555
b0086	GO:0005524
b0086	GO:0005829
b0086	GO:0007049
b0086	GO:0008360
b0086	GO:0008766
b0086	GO:0009252
b0086	GO:0047480
b0086	GO:0051301
b0086	GO:0071555
b0087	GO:0005887
b0087	GO:0007049
b0087	GO:0008360
b0087	GO:0008963
b0087	GO:0009252
b0087	GO:0016020
b0087	GO:0016780
b0087	GO:0044038
b0087	GO:0046872
b0087	GO:0051301
b0087	GO:0051992
b0087	GO:0071555
b0088	GO:0005524
b0088	GO:0005737
b0088	GO:0007049
b0088	GO:0008360
b0088	GO:0008764
b0088	GO:0009252
b0088	GO:0042802
b0088	GO:0051301
b0088	GO:0071555
b0089	GO:0005886
b0089	GO:0005887
b0089	GO:0008360
b0089	GO:0008955
b0089	GO:0009252
b0089	GO:0015648
b0089	GO:0032153
b0089	GO:0043093
b0089	GO:0051301
b0089	GO:0071555
b0090	GO:0005886
b0090	GO:0005975
b0090	GO:0007049
b0090	GO:0008360
b0090	GO:0009252
b0090	GO:0030259
b0090	GO:0050511
b0090	GO:0051301
b0090	GO:0051991
b0090	GO:0071555
b0091	GO:0000287
b0091	GO:0005524
b0091	GO:0005737
b0091	GO:0007049
b0091	GO:0008360
b0091	GO:0008763
b0091	GO:0009252
b0091	GO:0051301
b0091	GO:0071555
b0092	GO:0005524
b0092	GO:0005829
b0092	GO:0008360
b0092	GO:0008716
b0092	GO:0009252
b0092	GO:0046872
b0092	GO:0071555
b0093	GO:0000917
b0093	GO:0005886
b0093	GO:0005887
b0093	GO:0016021
b0093	GO:0032153
b0093	GO:0042802
b0093	GO:0043093
b0093	GO:0051301
b0094	GO:0005524
b0094	GO:0005829
b0094	GO:0009898
b0094	GO:0032153
b0094	GO:0042802
b0094	GO:0043093
b0094	GO:0051301
b0095	GO:0000917
b0095	GO:0003924
b0095	GO:0005525
b0095	GO:0005737
b0095	GO:0032153
b0095	GO:0042802
b0095	GO:0043093
b0095	GO:0051258
b0095	GO:0051301
b0096	GO:0005506
b0096	GO:0005737
b0096	GO:0008270
b0096	GO:0008759
b0096	GO:0009245
b0096	GO:0019213
b0096	GO:0103117
b0097	GO:0005829
b0097	GO:0006417
b0097	GO:0042597
b0097	GO:0045182
b0098	GO:0005524
b0098	GO:0005737
b0098	GO:0005829
b0098	GO:0005886
b0098	GO:0005887
b0098	GO:0006605
b0098	GO:0008270
b0098	GO:0015031
b0098	GO:0015462
b0098	GO:0017038
b0098	GO:0031522
b0098	GO:0042802
b0098	GO:0043952
b0098	GO:0061077
b0098	GO:0065002
b0098	GO:0070678
b0099	GO:0000287
b0099	GO:0006260
b0099	GO:0006281
b0099	GO:0008413
b0099	GO:0030145
b0099	GO:0035539
b0099	GO:0044715
b0099	GO:0044716
b0101	GO:0006355
