id	desc	pval	common_size	target_size
15081891	https://pubmed.ncbi.nlm.nih.gov/15081891	6.02e-04	2	2
229896	https://pubmed.ncbi.nlm.nih.gov/229896	6.02e-04	2	2
7648201	https://pubmed.ncbi.nlm.nih.gov/7648201	6.02e-04	2	2
15322282	https://pubmed.ncbi.nlm.nih.gov/15322282	6.02e-04	2	2
6162837	https://pubmed.ncbi.nlm.nih.gov/6162837	6.02e-04	2	2
11943174	https://pubmed.ncbi.nlm.nih.gov/11943174	6.02e-04	2	2
3525565	https://pubmed.ncbi.nlm.nih.gov/3525565	6.02e-04	2	2
5339592	https://pubmed.ncbi.nlm.nih.gov/5339592	6.02e-04	2	2
10047492	https://pubmed.ncbi.nlm.nih.gov/10047492	6.02e-04	2	2
9242657	https://pubmed.ncbi.nlm.nih.gov/9242657	6.02e-04	2	2
9636022	https://pubmed.ncbi.nlm.nih.gov/9636022	6.02e-04	2	2
6308632	https://pubmed.ncbi.nlm.nih.gov/6308632	6.02e-04	2	2
10727215	https://pubmed.ncbi.nlm.nih.gov/10727215	6.02e-04	2	2
6330744	https://pubmed.ncbi.nlm.nih.gov/6330744	6.02e-04	2	2
12130656	https://pubmed.ncbi.nlm.nih.gov/12130656	6.02e-04	2	2
19569682	https://pubmed.ncbi.nlm.nih.gov/19569682	6.02e-04	2	2
9174345	https://pubmed.ncbi.nlm.nih.gov/9174345	6.02e-04	2	2
6451616	https://pubmed.ncbi.nlm.nih.gov/6451616	6.02e-04	2	2
8794775	https://pubmed.ncbi.nlm.nih.gov/8794775	6.02e-04	2	2
3549732	https://pubmed.ncbi.nlm.nih.gov/3549732	6.02e-04	2	2
4358555	https://pubmed.ncbi.nlm.nih.gov/4358555	6.02e-04	2	2
10625457	https://pubmed.ncbi.nlm.nih.gov/10625457	6.02e-04	2	2
10029528	https://pubmed.ncbi.nlm.nih.gov/10029528	6.02e-04	2	2
1737023	https://pubmed.ncbi.nlm.nih.gov/1737023	6.02e-04	2	2
240389	https://pubmed.ncbi.nlm.nih.gov/240389	6.02e-04	2	2
18458150	https://pubmed.ncbi.nlm.nih.gov/18458150	6.02e-04	2	2
189806	https://pubmed.ncbi.nlm.nih.gov/189806	6.02e-04	2	2
14718657	https://pubmed.ncbi.nlm.nih.gov/14718657	6.02e-04	2	2
