organism,id1,id2,coexpression
511145,b0004,b1009,96
511145,b0004,b2514,153
511145,b0004,b3314,58
511145,b0004,b2871,138
511145,b0004,b2599,57
511145,b0004,b1637,246
511145,b0004,b3526,58
511145,b0004,b4129,247
511145,b0004,b3671,105
511145,b0004,b3699,58
511145,b0004,b3770,159
511145,b0004,b1211,73
511145,b0004,b0268,132
511145,b0004,b0441,108
511145,b0004,b0074,86
511145,b0004,b2024,102
511145,b0004,b4298,132
511145,b0004,b0871,55
511145,b0004,b1261,496
511145,b0004,b3117,138
511145,b0004,b0437,58
511145,b0004,b2290,56
511145,b0004,b1732,99
511145,b0004,b0409,122
511145,b0004,b3019,73
511145,b0004,b4019,107
511145,b0004,b1876,170
511145,b0004,b0073,138
511145,b0004,b0529,73
511145,b0004,b3733,113
511145,b0004,b0170,106
511145,b0004,b2010,164
511145,b0004,b3939,78
511145,b0004,b3305,106
511145,b0004,b3368,72
511145,b0004,b2508,42
511145,b0004,b0600,56
511145,b0004,b3317,107
511145,b0004,b0436,122
511145,b0004,b2231,58
511145,b0004,b3041,122
511145,b0004,b3987,57
511145,b0004,b0839,164
511145,b0004,b0149,57
511145,b0004,b2023,85
511145,b0004,b1378,59
511145,b0004,b1851,110
511145,b0004,b3958,156
511145,b0004,b0386,59
511145,b0004,b0642,280
511145,b0004,b3433,754
511145,b0004,b1602,156
511145,b0004,b0242,73
511145,b0004,b0908,200
511145,b0004,b1713,327
511145,b0004,b0754,59
511145,b0004,b3177,73
511145,b0004,b2784,59
511145,b0004,b0930,75
511145,b0004,b4142,60
511145,b0004,b1243,103
511145,b0004,b3172,73
511145,b0004,b3705,57
511145,b0004,b3213,146
511145,b0004,b4058,117
511145,b0004,b3670,419
511145,b0004,b3319,64
511145,b0004,b3941,58
511145,b0004,b0473,57
511145,b0004,b3008,78
511145,b0004,b2551,110
511145,b0004,b2319,726
511145,b0004,b0026,245
511145,b0004,b1761,148
511145,b0004,b3376,78
511145,b0004,b2114,110
511145,b0004,b2476,92
511145,b0004,b1297,56
511145,b0004,b2373,55
511145,b0004,b2890,247
511145,b0004,b3208,57
511145,b0004,b2870,64
511145,b0004,b1262,57
511145,b0004,b2019,282
511145,b0004,b2303,59
511145,b0004,b3384,138
511145,b0004,b3168,80
511145,b0004,b0166,125
511145,b0004,b0269,110
511145,b0004,b3250,72
511145,b0004,b2600,58
511145,b0004,b3984,73
511145,b0004,b3339,76
511145,b0004,b2029,72
511145,b0004,b3940,839
511145,b0004,b3058,59
511145,b0004,b2021,87
511145,b0004,b3771,194
511145,b0004,b1263,109
511145,b0004,b3732,121
511145,b0004,b1207,58
511145,b0004,b0388,132
511145,b0004,b3650,59
511145,b0004,b1096,57
511145,b0004,b2878,59
511145,b0004,b4024,138
511145,b0004,b2379,56
511145,b0004,b2478,132
511145,b0004,b2942,72
511145,b0004,b2557,167
511145,b0004,b2609,57
511145,b0004,b4005,110
511145,b0004,b3390,132
511145,b0004,b3067,54
511145,b0004,b0870,73
511145,b0004,b1719,121
511145,b0004,b1692,100
511145,b0004,b3960,58
511145,b0004,b4040,78
511145,b0004,b3956,139
511145,b0004,b3735,144
511145,b0004,b3320,58
511145,b0004,b4177,121
511145,b0004,b0907,208
511145,b0004,b1062,87
511145,b0004,b1260,496
511145,b0004,b3030,58
511145,b0004,b1800,58
511145,b0004,b2134,147
511145,b0004,b2416,57
511145,b0004,b3783,54
511145,b0004,b3308,72
511145,b0004,b0072,115
511145,b0004,b0674,100
511145,b0004,b3294,80
511145,b0004,b2699,54
511145,b0004,b0172,58
511145,b0004,b3980,76
511145,b0004,b0077,55
511145,b0004,b0078,451
511145,b0004,b2025,124
511145,b0004,b2791,57
511145,b0004,b3212,174
511145,b0004,b3313,56
511145,b0004,b2913,144
511145,b0004,b0918,81
511145,b0004,b1066,54
511145,b0004,b4297,110
511145,b0004,b0175,59
511145,b0004,b2818,106
511145,b0004,b3701,57
511145,b0004,b4059,57
511145,b0004,b1714,167
511145,b0004,b2020,95
511145,b0004,b3774,230
511145,b0004,b1264,59
511145,b0004,b0031,107
511145,b0004,b0243,59
511145,b0004,b3829,147
511145,b0004,b3281,100
511145,b0004,b3772,138
511145,b0004,b2153,66
511145,b0004,b3312,105
511145,b0004,b2891,72
511145,b0004,b3769,144
511145,b0004,b3959,106
511145,b0004,b0892,57
511145,b0004,b0095,81
511145,b0004,b3316,72
511145,b0004,b3454,131
511145,b0004,b1939,167
511145,b0004,b0405,60
511145,b0004,b0893,58
511145,b0004,b0182,56
511145,b0004,b4245,94
511145,b0004,b0632,164
511145,b0004,b3321,73
511145,b0004,b3310,58
511145,b0004,b2329,246
511145,b0004,b0183,59
511145,b0004,b3164,59
511145,b0004,b0191,59
511145,b0004,b2926,167
511145,b0004,b3225,132
511145,b0004,b0071,99
511145,b0004,b0174,57
511145,b0004,b3729,56
511145,b0005,b1609,98
511145,b0005,b3398,73
511145,b0005,b0379,170
